,timestamp,rotation,position,actual_linear_vel,actual_angular_vel,wheel_names,wheel_effort,wheel_vel,commanded_linear,commanded_angular
0,4.6,[ 4.23691818e-08 -1.77814012e-07 -2.48168530e-01  9.68716873e-01],[-0.08212351  0.11465894  0.        ],[ 2.15303972 -0.39358453  0.        ],0.33234732553979285,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.6129999999999995,[ 3.66458077e-08 -1.53390847e-07 -2.53595475e-01  9.67310361e-01],[-0.06454458  0.10927992  0.        ],[ 1.35222509 -0.41377055  0.        ],0.8625007670485457,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.623,[ 3.49808952e-08 -1.47087914e-07 -2.56281138e-01  9.66602286e-01],[-0.06744952  0.11537704  0.        ],[-0.29049344  0.60971194  0.        ],0.5554874943837173,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.633,[ 3.36031911e-08 -1.42908832e-07 -2.58949842e-01  9.65890770e-01],[-0.08934272  0.05461222  0.        ],[-2.18931998 -6.07648159  0.        ],0.552385555962396,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.6530000000000005,[ 3.10393922e-08 -1.36733948e-07 -2.64238764e-01  9.64457296e-01],[-0.04662093  0.09953418  0.        ],[2.13608938 2.24609777 0.        ],0.5479746183808497,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.663,[ 2.98462297e-08 -1.34253013e-07 -2.66859789e-01  9.63735365e-01],[-0.06605388  0.11969412  0.        ],[-1.94329515  2.01599421  0.        ],0.5437263245165492,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.671,[ 2.98462297e-08 -1.34253013e-07 -2.66859789e-01  9.63735365e-01],[-0.08577516  0.10127542  0.        ],[-2.46516039 -2.30233711  0.        ],0.0,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.689,[ 2.76569834e-08 -1.29873938e-07 -2.72056074e-01  9.62281400e-01],[-0.0716627   0.08443898  0.        ],[ 0.78402588 -0.93535776  0.        ],0.5995416213116307,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.703,[ 2.58141547e-08 -1.25766329e-07 -2.77191751e-01  9.60814620e-01],[-0.08100081  0.1359615   0.        ],[-0.66700824  3.68017997  0.        ],0.7630055036999297,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.712,[ 2.49650271e-08 -1.23721324e-07 -2.79736933e-01  9.60076689e-01],[-0.08439539  0.0709925   0.        ],[-0.37717462 -7.21877764  0.        ],0.5888886863662313,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
