,time,stuck,x,y,z,rot_x,rot_y,rot_z,rot_w,linear_velocity,angular_velocity,cmd_vel_x,cmd_vel_twist,row
0,8103000000,0,-0.16788075663850596,0.1113640451278897,1.479576215988082e-08,-1.6379703000897153e-07,2.6278613879080554e-08,-0.002864112035308708,0.9999958984226993,0.33325801154144175,-0.21307080076398152,-1.0,-0.005508333843491387,12.0
0,8149000000,0,-0.22094138110901962,0.11157260008227489,1.1980942118646553e-08,-1.2234185834657312e-07,-1.5716767133437605e-09,-0.008280633040477587,0.9999657149704854,0.3570435504454801,-0.20674814251540077,-1.0,0.10220801798550679,13.0
0,8152000000,0,-0.24340422777310114,0.11497890116147863,8.691682297421015e-09,-1.1376581012663545e-07,-3.499543697937498e-08,-0.011887783971258718,0.999929337799546,0.3786212295827155,-0.19675672314546575,-1.0,0.19066624038803812,14.0
0,8192000000,0,-0.2858626832029216,0.13209482546568474,5.776312439032688e-09,-4.1328212448484576e-08,-5.615262746381124e-08,-0.01391339837543429,0.999903203988087,0.3980026791908801,-0.18585942810484862,-1.0,0.3175559124923929,15.0
0,8213000000,0,-0.30380384463020255,0.15465364789398486,-4.91429583896083e-09,-3.704787825598647e-08,-1.7453408183220582e-07,-0.01493680934032241,0.9998884396404927,0.42186362732538735,-0.16532729003586816,-1.0,0.3175559124923929,16.0
0,8254000000,0,-0.317804648062176,0.16502015214904275,-1.683342717699462e-08,-2.8899469293523525e-08,-2.7937604596754197e-07,-0.01436204759651837,0.9998968604754975,0.4397010469386687,-0.1454100479615806,-1.0,0.49805741359196887,17.0
0,8300000000,0,-0.35896465682975487,0.1505215289819551,-3.319109567227731e-08,-9.083520089065435e-09,-4.1179871765256363e-07,-0.011793342287777042,0.9999304561205813,0.45912974405245405,-0.12485876147408768,-1.0,0.49805741359196887,18.0
0,8342000000,0,-0.42828911794138375,0.16093646980037682,-4.930014428024216e-08,2.236857514607957e-08,-4.940974279468525e-07,-0.007363379063723886,0.9999728899567824,0.4835567684605048,-0.10181032005116082,-1.0,0.3484197075128952,19.0
0,8378000000,0,-0.4678075729556552,0.15415263084410974,-6.375028038900526e-08,3.182632596045562e-08,-5.206188437478649e-07,-0.0027753928814417453,0.999996148589624,0.504218554967676,-0.08404910612103357,-1.0,0.2229588564954032,20.0
0,8401000000,0,-0.4954909097516688,0.14080979726407364,-7.361167474844373e-08,4.1857745200574826e-08,-5.084206974984197e-07,0.0028928048504531997,0.9999958158311648,0.5223175841218368,-0.0711343945386591,-1.0,0.03596217154560416,21.0
0,8444000000,0,-0.5404052989145389,0.13703088715139683,-8.155075263152738e-08,4.193350643036577e-08,-4.776997379515391e-07,0.007774907152816255,0.9999697749524908,0.5433243895919844,-0.06491601211344034,-1.0,-0.23671036317146513,22.0
0,8444000000,0,-0.5744168704384341,0.12351119622485428,-8.96044906070377e-08,2.4405715390526448e-08,-4.740147527980358e-07,0.011568467535145238,0.9999330830403917,0.5607621119091598,-0.06343732030676383,-1.0,-0.23671036317146513,23.0
0,8482000000,0,-0.6214878126492851,0.13807675105440742,-9.159019681019039e-08,3.81180727920731e-08,-4.0792519183725305e-07,0.013040006232903328,0.9999149755040565,0.57964182749021,-0.06765052353883504,-1.0,-0.23671036317146513,24.0
0,8513000000,0,-0.6459104585958141,0.1428389277108873,-9.281744180157671e-08,1.6221576480884094e-07,-3.5585042675380777e-07,0.013723151276850332,0.9999058331257399,0.595087188562646,-0.07064603831209933,-1.0,-0.17654542313025484,25.0
0,8565000000,0,-0.6811463569749834,0.1388679002043415,-9.282725655672748e-08,2.202561047305015e-07,-3.3448272690434754e-07,0.013502355977755889,0.999908839036284,0.608957877950002,-0.07238376154462531,-1.0,-0.1775166914734341,26.0
0,8600000000,0,-0.7167806682303052,0.13748944448027803,-9.45010217332176e-08,2.778697693651586e-07,-3.1150560319695004e-07,0.012401641899870506,0.9999230966819463,0.6268776112233019,-0.07633453828342009,-1.0,-0.16236531345004832,27.0
0,8653000000,0,-0.7589295557213291,0.12832604222519192,-9.531750862816668e-08,3.04070682640941e-07,-2.9807615277379006e-07,0.011362631829443803,0.9999354432150744,0.6428067348752008,-0.07863486540309482,-1.0,-0.20084126249306844,28.0
0,8655000000,0,-0.7949145175259525,0.1212620862935298,-9.672210382429825e-08,3.323296600704828e-07,-2.8157320221047114e-07,0.00921247074385063,0.9999575642909072,0.6598985652162782,-0.08400847307979337,-1.0,-0.20084126249306844,29.0
0,8681000000,0,-0.8269064713203068,0.1309148782869437,-9.64077531011626e-08,3.5166257271918023e-07,-2.6877708481849806e-07,0.007388008876128712,0.9999727082899064,0.6731720129780855,-0.08789935144588859,-1.0,-0.20591720733907715,30.0
0,8714000000,0,-0.8908794060629255,0.16076384391542478,-9.583611686710056e-08,3.6916289216142205e-07,-2.565368129735385e-07,0.004902604341249518,0.9999879821630212,0.6959004824096565,-0.08884928994496202,-1.0,-0.1018139289654596,31.0
0,8744000000,0,-0.9218120560092976,0.1613199818718945,-9.6404334593468e-08,3.3445684511790744e-07,-2.6001252806397393e-07,0.0032222355932147876,0.9999948085853257,0.7079090221793626,-0.08139587940340895,-1.0,0.2146353276353126,32.0
0,8799000000,0,-0.9697554947648871,0.14973546860505893,-8.420555569919774e-08,3.439312775342363e-07,-1.714820739112408e-07,0.002449961832285257,0.9999969988389329,0.7250741129961955,-0.0717977908290316,-1.0,0.1497367781537691,33.0
0,8839000000,0,-1.007090921596651,0.14471041744059976,-5.5054420343700896e-08,-1.4874233893889418e-07,4.003362579249658e-08,0.002285405535609287,0.999997388457347,0.7385634968062788,-0.06284524864603995,-1.0,0.11842155417378547,34.0
0,8887000000,0,-1.0424565535064256,0.1473866750399354,-1.0399799962119889e-07,-1.3624806564821808e-07,-3.9303515159696396e-07,0.0027455161424457964,0.9999962310633668,0.7505947362221832,-0.056057952335447955,-1.0,0.1363086927055055,35.0
0,8887000000,0,-1.0612236886773554,0.12072741877328948,-1.2424193963729367e-07,-3.875946032236252e-08,-4.776608137736023e-07,0.0035196026753389967,0.9999938061792074,0.756643711177646,-0.04920069646638918,-1.0,0.1363086927055055,36.0
0,8933000000,0,-1.073050884890711,0.12285466311592858,-1.1446497521127857e-07,3.4976915696221006e-08,-3.7921166618984896e-07,0.003989617230225106,0.9999920414454364,0.7602880937579509,-0.04958109306372814,-1.0,-0.09300539565656613,37.0
0,8946000000,0,-1.1325223596986218,0.1455218137975,-8.82301925536818e-08,-5.193359072779048e-07,-1.4181990169157164e-07,0.004402723093708544,0.9999903079675674,0.7801643989116637,-0.05059943939188685,-1.0,-0.09300539565656613,38.0
0,8988000000,0,-1.1545381779785306,0.12936533378557297,-7.0564205177547e-08,-5.339817030642e-07,-6.802717261561737e-08,0.004934058859164781,0.9999878274573569,0.7862706051148683,-0.045429943338035766,-1.0,-0.05313906355782652,39.0
0,9028000000,0,-1.1892388138698164,0.11649479500043032,-6.579192780154401e-08,-4.3599385894499246e-07,-8.492570184581816e-08,0.0055224698876549915,0.999984751046806,0.7967240841172538,-0.04478733336962603,-1.0,-0.18539573969280754,40.0
0,9075000000,0,-1.2231272289130115,0.09706219489906494,-7.205734228108077e-08,-2.9158563845931715e-07,-1.595095949649334e-07,0.005652927359345502,0.9999840220784327,0.8062723023699003,-0.04899686110283381,-1.0,-0.38072538434153125,41.0
0,9112000000,0,-1.2615074381343436,0.09768657374645418,-1.0253246367202901e-07,-2.8431842562837933e-07,-3.881879402513323e-07,0.005074839995542086,0.9999871229164844,0.8173349032744921,-0.059861063314177544,-0.9831613054954369,-0.3732628056710369,42.0
0,9153000000,0,-1.3036512087360352,0.0728254110231854,-8.80498966195546e-08,-5.274766017177312e-07,-2.703561571108048e-07,0.0033554607701992774,0.9999943704254881,0.8293213328756557,-0.07110267261733447,-0.9420674299520233,-0.6148685825309562,43.0
0,9157000000,0,-1.357946002764124,0.09389712595168599,-9.071169894079334e-08,-4.444669283007745e-07,-2.8977108258776303e-07,-0.0001846373454229555,0.9999999829543845,0.8428290528968603,-0.09384907291274043,-0.9420674299520233,-0.6148685825309562,44.0
0,9201000000,0,-1.3948391492106733,0.09960086285108616,-9.83554483740137e-08,-3.2524188640135156e-07,-3.442970331037081e-07,-0.00375168253662123,0.9999929624141961,0.8514369954420836,-0.10147661118505012,-0.8498285304282284,-0.21684721006472585,45.0
0,9213000000,0,-1.4329164037003281,0.08906066578443647,-9.300233831940662e-08,-2.473333031613693e-07,-2.890018763713241e-07,-0.008698166086471823,0.9999621702377481,0.8548722321774126,-0.10787531764828848,-0.8498285304282284,-0.21684721006472585,46.0
0,9256000000,0,-1.482875766865638,0.09871708612676904,-7.850524645018267e-08,-2.0785371123323983e-07,-2.0619117469629014e-07,-0.013110153805345425,0.9999140582405641,0.8633455616813367,-0.11492237533968987,-0.761863026932396,-0.07498921458566211,47.0
0,9294000000,0,-1.5064107666978166,0.07142062953114603,-7.775073036348886e-08,-1.673426848746655e-07,-2.1334472801787129e-07,-0.016234545051265224,0.999868211089294,0.8594167123404859,-0.11485541141548457,-0.7397945554727418,-0.3920747709163647,48.0
0,9336000000,0,-1.5493379750697054,0.09727968841786049,-7.083820982336493e-08,-7.098287041889979e-08,-1.8806800564092443e-07,-0.018299437678086287,0.9998325512707743,0.8699276005382622,-0.12102501253258598,-0.6954967813346536,-0.02406329283962914,49.0
0,9380000000,0,-1.5914328492270464,0.10741211316181508,-1.6085463610416427e-07,-1.0182372778393043e-08,-6.949571082784601e-07,-0.022658872224397494,0.9997432547954677,0.8609414360602072,-0.11737382762854685,-0.6530938869878653,0.19303881594871092,0.0
0,9381000000,0,-1.6089113589114075,0.09498990332423425,-1.0846767040290983e-07,3.091131519787898e-07,-3.300009332952508e-07,-0.02536022117262169,0.9996783778705386,0.849129496040779,-0.10829975715447222,-0.6530938869878653,0.19303881594871092,1.0
0,9412000000,0,-1.6376617056199265,0.06484300172944468,-9.985553048749093e-08,6.763058528095e-07,-2.835810963970618e-07,-0.02699771733736865,0.9996354951971412,0.8421739488112604,-0.10307653958567425,-0.6360747246372884,0.04469031839440065,2.0
0,9447000000,0,-1.6769151994265497,0.04634052199233547,-1.0071039486513842e-07,4.5817300098705094e-07,-3.0578627066459376e-07,-0.028157629481846108,0.9996034953428582,0.8404963650852489,-0.11377053593012618,-0.6095606933049916,-0.4386258175272536,3.0
0,9488000000,0,-1.712632879629792,0.03710361285902772,-1.5199286341773712e-07,4.1568262376676383e-07,-5.995812725496104e-07,-0.029948586744814487,0.9995514404729035,0.8364084208463684,-0.13601329621019725,-0.5387922021963885,-1.0,4.0
0,9521000000,0,-1.731595569095968,0.040877753101170144,-1.3300522860659068e-07,2.5193984980193437e-07,-4.683402619982304e-07,-0.031610034681691025,0.9995002779925274,0.8340820134251378,-0.15096641622813448,-0.5194689761949746,-0.9825856874404255,5.0
0,9560000000,0,-1.7742664594799205,0.0468058900370287,-2.807423967081834e-07,-3.8415527227355535e-07,-1.320347529262212e-06,-0.04053058489871756,0.9991782982460523,0.8195378896639984,-0.19559720775747375,-0.4764011756849268,-0.8252579014902511,6.0
0,9604000000,0,-1.7894424494809928,0.0714266993254154,-3.6206741283909243e-07,-5.995892244497452e-07,-1.6360996028958497e-06,-0.04847041163522533,0.9988246188359974,0.8032015452561891,-0.21888910838471676,-0.4579377516110893,-0.18963573191634508,7.0
0,9647000000,0,-1.801331238791853,0.07782031359870253,-4.697209963056574e-07,-4.814496424777274e-07,-2.112743859011483e-06,-0.05899907649948529,0.9982580372666741,0.7815293835785281,-0.22347330592089126,-0.4454169384773148,0.1329467336660931,8.0
0,9650000000,0,-1.811751106591064,0.07946919777801376,-4.2649152889410774e-07,-3.087030898198231e-07,-1.6128577467357604e-06,-0.06735156755457994,0.99772930514506,0.7609521962615271,-0.21555387458934902,-0.4454169384773148,0.1329467336660931,9.0
0,9702000000,0,-1.854309301450291,0.06015844622232204,-3.8323598814818215e-07,-1.8820887801977057e-07,-1.2459180574203161e-06,-0.07262928583996177,0.9973590059937241,0.7601459526880321,-0.19941171409573497,-0.43488211565224066,0.3129814556349827,10.0
0,9712000000,0,-1.8774343939031413,0.05332540470915161,-3.7742143356267066e-07,-1.4236538451097155e-07,-1.0924111114081639e-06,-0.0754668637791859,0.99714831016761,0.7480068609028928,-0.1984636155711086,-0.3952523942073504,-0.17876359382429627,11.0
0,9751000000,0,-1.913883056784268,0.05758408548548869,-3.170664451805274e-07,-6.013003893330139e-07,-7.618763428783249e-07,-0.07722587221667808,0.9970136231062399,0.7442833673607785,-0.20361781636436516,-0.373693016617463,-0.40289609191731074,12.0
0,9788000000,0,-1.946145382292384,0.08242190335957192,-2.696107142063459e-07,-1.0865306576685293e-06,-5.285403659902934e-07,-0.08043441629473663,0.9967599032233715,0.7295074209664694,-0.21255890056771606,-0.33711094295187133,-0.4492379016897733,13.0
0,9840000000,0,-1.9494519990848895,0.10412327703960439,-2.501109383174363e-07,-8.788222660463246e-07,-4.581243313860515e-07,-0.08353796414742139,0.9965045953457123,0.7040125785860207,-0.1989775375572991,-0.2955502352840867,0.9860270003595841,14.0
0,9875000000,0,-1.9289067145483592,0.09810326612091878,-2.2903260409025314e-07,-1.2646174561063479e-06,-4.13326397171281e-07,-0.08546221446931139,0.9963414123161956,0.6667428407438736,-0.16565086846348467,-0.3164935326673176,0.8794248639616685,15.0
0,9916000000,0,-1.9195692413293894,0.1158519828720888,-2.313852668098342e-07,-1.3220291921826534e-06,-5.44932573102131e-07,-0.08604426359033766,0.9962913151790252,0.6384436560437169,-0.1331836217535262,-0.3248490037648472,1.0,16.0
0,9919000000,0,-1.9334831591713242,0.13901963643215384,-1.953089008093633e-07,-9.241262221556171e-07,-4.2340307191490555e-07,-0.08445140315804131,0.9964275992281649,0.6222822368033256,-0.08856993023756615,-0.3248490037648472,1.0,17.0
0,9956000000,0,-1.9320618846742035,0.14763148926137298,-1.7055584443788257e-07,-3.301417631089974e-07,-3.794856716127684e-07,-0.08098758644475627,0.9967151101702031,0.6007539020728485,-0.05214251501769819,-0.3111660675817473,1.0,18.0
0,9980000000,0,-1.9403656543442016,0.1594534785922995,-1.109118216468894e-07,1.2970888654199035e-09,-7.461832789292773e-08,-0.07414026581837407,0.9972478232537664,0.5844424068375378,-0.011031090816450421,-0.3131066910111593,1.0,19.0
0,10023000000,0,-1.9544357662298564,0.15110685098984108,-8.12935346580038e-08,4.163403474668239e-07,-5.5885120873784186e-08,-0.0646145303654598,0.9979102978051057,0.5693259159348919,0.03355686182531267,-0.29109743474734395,1.0,20.0
0,10062000000,0,-1.9284637373140996,0.1672347518555258,-7.025541067861679e-08,4.813856771351462e-08,-1.1859821271833094e-07,-0.05353001269419657,0.998566241038091,0.5304249187557013,0.07643617669727475,-0.31873307299689163,1.0,21.0
0,10107000000,0,-1.9194937971643256,0.16629255854401548,-4.756649811187433e-08,9.88018893193271e-08,-4.404865709939474e-08,-0.04302237659617914,0.9990741089188554,0.5075070591246583,0.11159851380788226,-0.3275020204014659,1.0,22.0
0,10155000000,0,-1.9345639122315983,0.13610521823116511,-1.7894390764556406e-08,2.2554074789107393e-08,6.701840679804549e-08,-0.029553008153996228,0.9995632144637201,0.49523172982058866,0.15440494363227883,-0.3099627979977631,0.9687972417971189,23.0
